Qoil,Qwater,Qgas,BHP,WHP,WHT,Tsep,Psep,Choke_in
430.10,645.10,1.29,5408.18,2653.88,94.37,61.80,600.00,0.25
233.20,933.00,0.70,5434.08,2179.98,99.31,62.96,600.00,0.25
1400.50,0.00,4.20,5306.95,3243.41,95.63,61.77,100.00,0.32
1195.50,298.90,3.59,5269.58,3043.89,100.93,62.78,100.00,0.32
968.60,645.70,2.91,5268.89,2806.68,107.16,64.23,100.00,0.32
699.50,1049.20,2.10,5286.94,2512.06,113.62,66.53,100.00,0.32
378.90,1515.80,1.14,5330.01,2075.03,119.86,69.91,100.00,0.32
1400.50,0.00,4.20,5306.95,3243.41,95.63,61.77,200.00,0.32
1195.50,298.90,3.59,5269.58,3043.88,100.93,62.78,200.00,0.32
968.60,645.70,2.91,5268.89,2806.68,107.16,64.23,200.00,0.32
699.50,1049.20,2.10,5286.94,2512.06,113.62,66.53,200.00,0.32
378.90,1515.80,1.14,5330.01,2075.03,119.86,69.91,200.00,0.32
1400.50,0.00,4.20,5306.95,3243.41,95.63,61.77,300.00,0.32
1195.50,298.90,3.59,5269.58,3043.89,100.93,62.78,300.00,0.32
968.60,645.70,2.91,5268.89,2806.68,107.16,64.23,300.00,0.32
699.50,1049.20,2.10,5286.94,2512.06,113.62,66.53,300.00,0.32
378.90,1515.80,1.14,5330.01,2075.03,119.86,69.91,300.00,0.32
1400.50,0.00,4.20,5306.95,3243.41,95.63,61.77,400.00,0.32
1195.50,298.90,3.59,5269.58,3043.88,100.93,62.78,400.00,0.32
968.60,645.70,2.91,5268.89,2806.68,107.16,64.23,400.00,0.32
699.50,1049.20,2.10,5286.94,2512.06,113.62,66.53,400.00,0.32
